norm_type,ValLoss mean,ValLoss median,ValLoss var,ValLoss 25%,ValLoss 75%,ValAcc mean,ValAcc median,ValAcc var,ValAcc 25%,ValAcc 75%,ValLoss mean Change (%),ValLoss median Change (%),ValLoss var Change (%),ValLoss 25% Change (%),ValLoss 75% Change (%),ValAcc mean Change (%),ValAcc median Change (%),ValAcc var Change (%),ValAcc 25% Change (%),ValAcc 75% Change (%)
False,0.6570913791656494,0.6541703343391418,0.002129403954903859,0.6229082942008972,0.6914412677288055,0.6959794967673546,0.7044420838356018,0.0007608841307666205,0.6711638569831848,0.7177333831787109,,,,,,,,,,
batch_norm,0.6557249318469655,0.6442311406135559,0.0024750492693650433,0.6147587448358536,0.6862339675426483,0.7059269818392667,0.7130759358406067,0.0005338969847062078,0.6909054517745972,0.724235013127327,-0.2079539257415043,-1.5193586752335297,16.2320218136718,-1.3083064458947933,-0.7531080988645321,1.4292784655461297,1.225629786056308,-29.832025256160126,2.9413971843103814,0.9058558652826608
instance_norm,0.6205123559786723,0.6120259165763855,0.001664051574211034,0.5887799263000488,0.6360756903886795,0.7169371969424762,0.7249048352241516,0.00048236168667414983,0.7111853957176208,0.731663167476654,-5.566809175525,-6.442422645981283,-21.85364498930102,-5.4788751761012,-8.007271177490857,3.011252525751788,2.9048167135518934,-36.60510619558439,5.963005653243739,1.9408020616584154
layer_norm,0.5963446525427011,0.5848594903945923,0.001185556276109545,0.5677053928375244,0.6238470077514648,0.72795203098884,0.7323718070983887,0.00030906155017441293,0.7161708474159241,0.7422525882720947,-9.24479129525064,-10.595228842740017,-44.324501070860826,-8.862123345811325,-9.77584982732796,4.5938902467658265,3.964800500094047,-59.38125955353789,6.7058125917329985,3.4161996178570764
